Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
书桌,shu1zhuo1,desk,2,2.814600709,0.581449085,3.449520492,1.7782,8.25,0,4,10,NA,shu1,zhuo1,NA,22,15,NA,1195.624994,83.90758009,NA,1634.862801,120.9898748,NA,6.5,6.5,NA
松鼠,song1shu3,squirrel,2,1.018279403,0.304981288,3.008218205,2.1399,6.619047619,2,8,13,NA,song1,shu3,NA,15,24,NA,187.6845914,18.16207015,NA,189.7303302,562.371637,NA,7.5,7.5,NA
头发,tou2fa5,hair,2,25.70359251,1.426569692,4.409972512,3.2999,5.375,0,5,5,NA,tou2,fa1,NA,11,18,NA,1185.230139,4229.053977,NA,1183.902864,4151.803625,NA,6.5,6.5,NA
土豆,tu3dou4,potato,2,3.154027177,0.618469333,3.498954024,2.3927,7.136363636,1,3,7,NA,tu3,dou4,NA,23,18,NA,562.0897677,66.63282643,NA,1.103259317,296.6765211,NA,6.5,7,NA
袜子,wa4zi5,socks,2,3.110347631,0.613878554,3.492899283,2.534,7.285714286,2,10,3,NA,wa4,zi,NA,19,6,NA,4.717779018,3310.14391,NA,569.5360954,825.9382697,NA,8,6.5,NA
豌豆,wan1dou4,pea,2,1.941919791,0.468630828,3.288398062,1.7993,9.761904762,1,15,7,NA,wan1,dou4,NA,23,18,NA,1.492090954,66.63282643,NA,205.0212352,296.6765211,NA,9.5,7,NA
围巾,wei2jin1,muffler,2,1.839090861,0.453179292,3.264781334,2.1553,7.210526316,2,7,3,NA,wei2,jin1,NA,9,9,NA,385.4996596,13.70934245,NA,2495.666756,2422.279829,NA,7.5,7,NA
蜗牛,wo1niu2,snail,2,1.200277509,0.342477459,3.079574114,1.5441,6.526315789,1,13,4,NA,wo1,niu2,NA,4,7,NA,1.379074146,161.4081835,NA,45.21950489,161.4081835,NA,9.5,6.5,NA
乌龟,wu1gui1,turtle,2,1.94009981,0.468362074,3.287991038,2.0719,5.578947368,0,4,7,NA,wu1,gui1,NA,9,11,NA,41.63862115,14.2676993,NA,393.0368044,818.8619375,NA,6.5,7.5,NA
西瓜,xi1gua1,watermelon,2,5.002217943,0.778311761,3.699204918,1.8921,5.57894737,0,6,5,NA,xi1,gua1,NA,14,7,NA,1571.407899,58.07718497,NA,3033.064369,83.53623915,NA,6.5,7,NA
小号,xiao3hao4,trumpet,2,0.85903106,0.269286646,2.934431991,1.6721,NA,5,3,5,NA,xiao3,hao4,NA,14,23,NA,2111.863694,422.4628831,NA,2138.816184,237.2047895,NA,6.5,7.5,NA
眼睛,yan3jing5,eye,2,79.92355825,1.908074971,4.902643065,3.4406,6.888888889,1,11,13,NA,yan3,jing1,NA,24,10,NA,599.6900561,125.6571999,NA,251.8323935,6299.095397,NA,7,7,NA
椅子,yi3zi5,chair,2,11.39399142,1.093211191,4.056673882,2.882,6.619047619,0,12,3,NA,yi3,zi,NA,7,6,NA,20.52398689,3310.14391,NA,13760.09507,825.9382697,NA,7,6.5,NA
樱桃,ying1tao2,cherry,2,2.995688824,0.601591659,3.476591913,2.2068,9.65,1,15,10,NA,ying1,tao2,NA,6,21,NA,3.722154757,48.29584932,NA,1687.583123,238.0947968,NA,11,6.5,NA
优盘,you1pan2,USB,2,NA,NA,NA,NA,NA,NA,6,11,NA,you1,pan2,NA,NA,NA,NA,475.4448936,162.829639,NA,573.4062483,165.9510556,NA,8.5,8.5,NA
熨斗,yun4dou3,iron,2,1.104728503,0.323196083,3.04357646,1.4472,11.35,0,15,4,NA,yun4,dou4,NA,7,16,NA,4.624271064,436.5314575,NA,6572.451438,259.0129971,NA,NA,7,NA
蜘蛛,zhi1zhu1,spider,2,3.113077603,0.614166904,3.493280188,2.3444,7.227272727,4,14,12,NA,zhi1,zhu1,NA,12,21,NA,2.846274494,4.282529763,NA,5144.921335,273.2753147,NA,7,7,NA
嘴巴,zui3ba5,mouth,2,4.391614297,0.731718816,3.642677481,2.7275,4.285714286,0,16,4,NA,zui3,ba1,NA,9,13,NA,96.32328372,444.1049291,NA,96.32328372,830.2113814,NA,7,6.5,NA
贝壳,bei4ke2,shell,2,2.141207717,0.497096656,3.330806641,1.8451,7.473684211,1,4,7,NA,bei4,ke2,NA,10,10,NA,139.3369427,36.8952788,NA,1852.070342,24.00867181,NA,6.5,7.5,NA
磁铁,ci2tie3,magnet,2,1.557903787,0.407884205,3.192757545,1.699,9.153846154,0,14,10,NA,ci2,tie3,NA,6,7,NA,89.49989393,323.4218142,NA,476.4001547,325.1453205,NA,10.5,7.5,NA
开关,kai1guan1,switch,2,7.33270369,0.920785939,3.865281338,2.1875,7.15,2,4,6,NA,kai1,guan1,NA,18,14,NA,2524.936091,2177.478696,NA,2527.064574,3574.263518,NA,6.5,6.5,NA
闹钟,o4zhong1,alarm clock,2,0.84174124,0.265228613,2.925611169,2.0128,7.944444444,1,8,9,NA,o4,zhong1,NA,22,15,NA,81.84838694,197.3475285,NA,67.62239622,7862.335814,NA,7,7,NA
瓶子,ping2zi5,bottle,2,2.910149715,0.592193386,3.464014422,2.5092,6.736842105,4,10,3,NA,ping2,zi,NA,11,6,NA,43.78459506,3310.14391,NA,2124.169744,825.9382697,NA,9.5,6.5,NA
钱包,qian2bao1,wallet,2,2.447874525,0.537551453,3.38891388,2.8089,8.142857143,0,10,5,NA,qian2,bao1,NA,10,22,NA,313.5469706,585.9659138,NA,2529.135876,706.3032511,NA,7,6.5,NA
炸弹,zha4dan4,bomb,2,10.16550421,1.04787834,4.007131109,2.8228,10.15,0,9,11,NA,zha4,dan4,NA,21,23,NA,114.597698,242.4587256,NA,84.14639537,1771.029891,NA,7.5,7.5,NA
别针,bie2zhen1,pin,2,0.764392045,0.246595091,2.883796178,1.6335,9.05,0,7,7,NA,bie2,zhen1,NA,8,15,NA,1169.575293,197.0871862,NA,1169.11448,1154.050954,NA,7,7.5,NA
